Exp ;Trial;Relative Score;Score;Status;metric-collector.accepted_spans_rate (spans/s);metric-collector.cpu_millicores (millicores);metric-collector.dropped_logs (logs);metric-collector.dropped_metric_points (points);metric-collector.dropped_spans (span);metric-collector.exported_spans_rate (spans/s);metric-collector.heap_alloc_bytes (bytes);metric-collector.memory_rss_bytes (bytes);metric-collector.refused_log_records (records);metric-collector.refused_metric_points (points);metric-collector.refused_spans (spans);metric-collector.working_set_bytes (bytes);parameter-collector.batch_send_size;parameter-collector.batch_timeout_s;parameter-collector.gogc;parameter-collector.gomaxprocs;parameter-collector.gomemlimit_mib;parameter-collector.memory_limit_mib;parameter-collector.memory_spike_mib;parameter-collector.tail_decision_wait_s;parameter-collector.tail_num_traces
91;1;+37.22993200981241;0.0903057700555726;COMPLETED;2405.3700676068374;23.58463966984899;0;0;0;0.11199999999999999;17848156.615384616;66026889.84615385;0;0;0;46317454.222222224;128;1;200;1;100;128;80;10;1000
90;1;+36.198191597332496;0.0917901098918942;COMPLETED;2409.195040522688;24.901398363644603;0;0;0;0.11199999999999999;21151929.777777776;64571467.85185185;0;0;0;45083534.222222224;128;1;200;1;380;450;80;10;1000
89;1;+37.37349339942;0.0900992317762006;COMPLETED;2406.6935712820514;23.920431589055138;0;0;0;0;20880129.48148148;65325131.85185185;0;0;0;45374577.777777776;128;1;200;1;100;128;80;10;1000
88;1;+36.7969076369803;0.0909287516882761;COMPLETED;2395.2925504273508;24.51818245836946;0;0;0;1.7514470085470086;19834015.407407407;65912073.481481485;0;0;0;44981607.783783786;128;1;200;1;380;450;80;10;1000
87;1;+36.209354014793306;0.0917740507933979;COMPLETED;2387.4421107692306;24.016624226180276;0;0;0;0.971829487179487;19601863.111111112;64702843.25925926;0;0;0;46966328.88888889;128;1;200;1;380;450;80;10;1000
86;1;+34.67452836349501;0.0939821671262207;COMPLETED;2374.2552473564;25.075064971123613;0;0;0;0.2693333333333333;20657355.85185185;64898237.62962963;0;0;0;47064291.55555555;128;1;200;1;380;450;80;10;1000
85;1;+19.1439890607617;0.116325576270383;COMPLETED;2400.3487384615382;23.05787760255822;0;0;0;0.064;22370402.666666668;66144938.666666664;0;0;0;75387221.33333333;2048;10;200;1;100;128;20;10;1000
84;1;-5.3728352904069965;0.151597335139525;CONSTRAINTS_VIOLATED;1530.984473237176;35.99080665403716;0;0;0;288.069141269312;48733752.615384616;100166892.3076923;176.7307636003112;11.672805367601168;1175.1988600371064;85486730.37837838;2048;1;200;2;100;128;80;10;12000
83;1;+34.3968088883447;0.0943817153801241;COMPLETED;2401.5518646153846;25.62070498349196;0;0;0;1.9326292307692308;23764467.259259257;64501229.03703704;0;0;0;46321550.222222224;128;1;200;1;181;450;21;6;1000
82;1;+37.6038976382196;0.0897677548019822;COMPLETED;2401.400841025641;25.630835391849363;0;0;0;0.688;19628338.666666668;64377287.11111111;0;0;0;41345592.88888889;128;5;200;1;100;128;20;10;1000
81;1;+29.4453096144673;0.101505316949697;COMPLETED;2403.2376025304384;35.62203264409231;0;0;0;0.11199999999999999;12836288.296296297;48335075.55555555;0;0;0;32492771.555555556;128;10;50;1;100;128;80;10;1000
80;1;+35.412930378982296;0.0929198461067566;COMPLETED;2416.00171008547;25.31381891090576;0;0;0;2.6885729914529914;21925702.51851852;65479262.81481481;0;0;0;45410912.86486486;128;1;200;1;100;128;20;8;1000
79;1;+36.919295204107804;0.0907526756722933;COMPLETED;2413.6804909786338;24.238888359692634;0;0;0;0.2;16621730.074074075;65569526.518518515;0;0;0;45392327.11111111;128;1;200;1;100;128;20;8;1000
78;1;+36.774396369073;0.0909611381018707;COMPLETED;2401.68595412925;24.139775017460973;0;0;0;0;17718022.222222224;66469736.2962963;0;0;0;45829006.222222224;128;1;200;1;100;128;20;10;1000
77;1;-9.710498352378005;0.15783782548142;COMPLETED;2493.0791220119077;57.2431141126447;0;0;0;421.83562925442106;19352859.259259257;67708700.44444445;0;0;0;46548423.11111111;2048;6;75;1;113;150;76;2;8879
76;1;+32.4512078151486;0.0971808043211045;COMPLETED;2404.5320553846154;25.384803965158394;0;0;0;0;21496671.703703705;66157074.96296296;0;0;0;49833642.666666664;128;1;200;1;100;128;80;10;1000
75;1;+36.47841776248541;0.0913869553240545;COMPLETED;2396.0404793162393;22.737795119438275;0;0;0;0.018666666666666668;21361858.074074075;65571498.666666664;0;0;0;49296952.88888889;2048;10;200;1;100;128;20;10;1000
74;1;+34.7932218388751;0.0938114057101832;COMPLETED;2392.4661682067685;24.725145604115045;0;0;0;1.2767356525082276;18955203.555555556;65140660.14814815;0;0;0;47632384;128;5;200;1;380;450;80;10;1000
73;1;+30.999912664721595;0.0992687473540437;COMPLETED;2390.1534922133083;25.824887711716958;0;0;0;0.055999999999999994;21944881.777777776;66625080.88888889;0;0;0;51130481.777777776;128;10;200;1;380;450;80;10;1000
72;1;+39.8775487748432;0.0864967082139393;COMPLETED;2410.4419747008546;22.902242385506977;0;0;0;0.27466666666666667;20775450.962962963;65562851.55555555;0;0;0;43692942.222222224;128;10;200;1;380;450;80;10;1000
71;1;+25.899337258368504;0.106606821129418;COMPLETED;2401.9309846153847;37.8531978741435;0;0;0;37.51466666666666;13712158.153846154;51147224.615384616;0;0;0;33179079.111111112;2048;1;50;1;380;450;80;2;1000
70;1;+33.9637373734383;0.0950047648349832;COMPLETED;2413.8648998290596;26.078724682302806;0;0;0;1.2;22938370.666666668;67189570.37037037;0;0;0;46006954.666666664;128;1;200;1;100;128;20;8;1000
69;1;+35.313615837547694;0.0930627275218822;COMPLETED;2388.305317606838;23.802390796124488;0;0;0;2.258386923076923;22325927.407407407;67025730.37037037;0;0;0;48810097.777777776;128;1;200;1;100;128;20;8;1000
68;1;+27.841295459142103;0.103812973100385;COMPLETED;2404.469078290598;27.754154668139787;0;0;0;2.8577012820512815;21811337.777777776;69329047.7037037;0;0;0;51866737.777777776;128;10;200;2;100;128;20;10;1000
67;1;+33.6303420413072;0.0954844125901161;COMPLETED;2414.337772820513;24.278931313533562;0;0;0;0.5573333333333333;21258219.692307692;65244711.384615384;0;0;0;50386999.35135135;128;10;200;1;100;128;80;10;1000
66;1;+34.0475348588121;0.0948842074309897;COMPLETED;2411.443987692308;25.75226488221575;0;0;0;1.9946666666666666;22550396.444444444;64395643.25925926;0;0;0;46578574.222222224;128;1;200;1;196;450;75;6;1000
65;1;+35.4245841627628;0.0929030800914876;COMPLETED;2399.7396205128202;25.40564330366483;0;0;0;0.408;21729389.333333332;65552384;0;0;0;45195719.11111111;128;1;200;1;194;450;79;6;1000
64;1;+38.4035724101084;0.0886172821582259;COMPLETED;2392.269629748925;23.12986571561469;0;0;0;2.9875805128205135;19921073.48148148;65453018.074074075;0;0;0;45481073.777777776;128;1;200;1;100;128;80;6;1000
63;1;+35.098203423056894;0.093372636123115;COMPLETED;2399.882657777778;24.43534785688626;0;0;0;0.08800000000000002;19287274.666666668;65370036.14814815;0;0;0;47783594.666666664;128;6;200;1;380;450;75;10;1000
62;1;+36.2354605852191;0.0917364919055187;COMPLETED;2372.3071494017095;24.631402419773227;0;0;0;1.8057074358974359;21929641.48148148;65666161.777777776;0;0;0;45605774.222222224;128;1;200;1;100;128;20;8;1000
61;1;+31.588114080698602;0.0984225162837525;COMPLETED;2391.6376027350425;23.919232469811387;0;0;0;0;21262327.111111112;65869141.333333336;0;0;0;54314211.55555555;2048;4;200;1;100;128;80;10;1000
60;1;-6.294398167620008;0.152923165235716;COMPLETED;2408.8040786324786;43.27057185917457;0;0;0;446.8373333333333;31393270.814814813;92981172.14814815;0;0;0;71277152.86486487;2048;10;200;1;100;450;20;2;12000
59;1;+26.951405956070897;0.105093235483593;COMPLETED;2401.31670974359;25.11512970468717;0;0;0;6.657543999999999;29506551.407407407;80428449.18518518;0;0;0;58908672;2048;10;200;1;100;128;20;10;2547
58;1;+33.360692026010696;0.0958723515084021;COMPLETED;2395.3487724088086;24.278006113765947;0;0;0;0;22769975.703703705;65570285.03703704;0;0;0;50805532.44444445;2048;10;200;1;100;128;20;10;1000
57;1;+26.2087811596206;0.106161631715318;COMPLETED;2398.5199876923075;28.749140222215004;0;0;0;35.95894264957265;26036809.185185187;73978007.7037037;0;0;0;52251875.55555555;2048;1;200;2;100;128;20;2;1000
56;1;+37.094867995861804;0.0905000833672694;COMPLETED;2393.112191661473;22.74004293824623;0;0;0;0.992;19587764.14814815;65791620.74074074;0;0;0;48339854.222222224;2048;4;200;1;100;128;80;10;1000
55;1;+36.6500526193211;0.0911400284302148;COMPLETED;2397.1660786324787;23.75137636720699;0;0;0;0.48533333333333334;20792331.555555556;65109105.777777776;0;0;0;46855168;2048;4;200;1;100;128;80;10;1000
54;1;+35.707743026109895;0.0924957063220882;COMPLETED;2395.895241025641;23.15913305131644;0;0;0;0.018666666666666668;20824919.111111112;65857611.85185185;0;0;0;49582648.88888889;2048;6;200;1;100;128;80;10;1000
53;1;+35.546955452815595;0.0927270274929364;COMPLETED;2406.107747692308;24.57401594712469;0;0;0;0.018666666666666668;18723924.740740743;65577870.222222224;0;0;0;46792590.222222224;2048;4;200;1;100;128;80;10;1000
52;1;+35.627250711375005;0.0926115086574756;COMPLETED;2402.0459328070447;24.463486550553107;0;0;0;0;23488214.222222224;65129889.18518519;0;0;0;46905912.88888889;195;5;200;1;100;128;20;10;1000
51;1;+34.985813935833;0.0935343281447246;COMPLETED;2395.9362964825227;24.64864863385861;0;0;0;0.13066666666666665;17143663.703703705;68063838.81481482;0;0;0;47499150.222222224;2048;1;200;1;100;128;80;7;1000
50;1;+36.0553199646262;0.0919956558347894;COMPLETED;2399.652086153846;25.065895256126268;0;0;0;0;17521355.555555556;63868321.18518519;0;0;0;44950983.11111111;1088;1;200;1;380;382;20;10;1000
49;1;+32.810377990823504;0.096664074925489;COMPLETED;2406.827826752137;26.105438935048095;0;0;0;0;23393601.185185187;64555842.37037037;0;0;0;47731256.88888889;2000;1;200;1;146;250;20;10;1000
48;1;+35.3756164558002;0.0929735287404488;COMPLETED;2393.104713846154;25.69035942569858;0;0;0;0;21927515.259259257;63897144.88888889;0;0;0;44659939.55555555;1358;1;200;1;100;128;80;10;1000
47;1;+34.72332737696821;0.0939119611724795;COMPLETED;2416.022914871795;24.51676566789124;0;0;0;2.2697269230769233;19197317.333333332;66347008;0;0;0;48187847.11111111;128;1;200;1;100;128;80;6;1000
46;1;+33.8255535441956;0.0952035665490573;COMPLETED;2397.562430769231;25.02317296026539;0;0;0;0.037333333333333336;22837805.037037037;65500501.333333336;0;0;0;48487196.44444445;2048;10;200;1;100;450;20;10;1000
45;1;+36.989305845096;0.0906519530659787;COMPLETED;2401.9377066666666;24.303974630726962;0;0;0;0;19987112.888888888;65771444.14814815;0;0;0;45144405.333333336;2012;1;199;1;144;252;20;10;1000
44;1;+34.5465297451313;0.0941663156251388;COMPLETED;2389.83742974359;25.287726039701578;0;0;0;0.24266666666666667;17535693.846153848;66118262.15384615;0;0;0;46805333.333333336;128;1;200;1;100;450;20;10;1000
43;1;+34.050791510789104;0.0948795221650021;COMPLETED;2403.161072820513;24.816698948711988;0;0;0;1.4373333333333331;20738298.666666668;66363695.40740741;0;0;0;48582656;2048;1;200;1;100;128;80;7;1000
42;1;+34.0748283193807;0.0948449409931308;COMPLETED;2407.4938153846156;26.184196452104665;0;0;0;0.28800000000000003;21066536.296296295;64620771.55555555;0;0;0;45608846.222222224;128;1;200;1;100;450;20;10;1000
41;1;+35.9526338657848;0.0921433878275495;COMPLETED;2400.4799548717947;24.18900094095577;0;0;0;0;21533658.37037037;65351831.7037037;0;0;0;46992725.333333336;2048;1;200;1;100;450;20;10;1000
40;1;+34.459302438354996;0.0942918074297604;COMPLETED;2385.5060984615384;25.173883247757825;0;0;0;0.9574174358974361;20088040.888888888;64065536;0;0;0;47184554.666666664;2048;1;200;1;100;128;20;10;1000
39;1;+35.552245569826;0.0927194167302654;COMPLETED;2390.9699254700854;25.070942563808927;0;0;0;0.408;18282487.703703705;65431021.03703704;0;0;0;45717276.44444445;128;1;200;1;100;128;20;10;1000
38;1;+39.912077949240896;0.0864470319305894;COMPLETED;2404.1187294871797;24.38177249605644;0;0;0;0.037333333333333336;20686840;64477656.615384616;0;0;0;40462336;2048;1;200;1;100;128;20;10;1000
37;1;+31.426378600481396;0.0986552011852347;COMPLETED;2407.7560735042734;36.47440201134565;0;0;0;37.663999999999994;13611480;49504711.11111111;0;0;0;27602033.777777776;128;1;50;1;100;128;20;2;1000
36;1;+29.497947492836495;0.101429588114403;COMPLETED;2394.9713494017096;35.387181498200924;0;0;0;0.037333333333333336;13417679.076923076;47944310.15384615;0;0;0;32915797.333333332;2048;1;50;1;100;128;20;10;1000
35;1;+39.444984807374595;0.0871190274726448;COMPLETED;2406.0740770468756;24.284802127435697;0;0;0;0;20128060.740740743;64297490.96296296;0;0;0;41392128;2048;1;200;1;100;128;20;10;1000
34;1;+28.903826212169403;0.102284335950035;COMPLETED;2410.4985995726497;34.30229285972866;0;0;0;0.07733333333333334;13617031.384615384;48606601.84615385;0;0;0;36163356.44444445;128;1;50;1;100;128;80;10;1000
33;1;+22.463398393279498;0.111550022801976;COMPLETED;2397.467794871795;25.82110777889078;0;0;0;31.63923076923077;19330133.925925925;71530723.55555555;0;0;0;64325518.222222224;2048;5;200;1;100;128;80;2;1000
32;1;-27.904716273301;0.184013404264682;COMPLETED;2514.918206819949;52.948705594390624;0;0;0;436.22013551038543;53525368.92307692;118290747.07692307;0;0;0;83876408.8888889;128;10;200;1;100;128;20;10;12000
31;1;-35.03454360857401;0.194270913432519;COMPLETED;2408.584062905983;72.02462916431183;0;0;0;433.8373333333333;32110373.53846154;81565223.38461539;0;0;0;53925091.55555555;128;1;50;1;380;450;20;10;12000
30;1;+37.1985726939146;0.0903508859405994;COMPLETED;2412.6935928205125;24.117731263078543;0;0;0;0.9520000000000001;19133323.384615384;63497137.23076923;0;0;0;45221091.55555555;128;5;187;1;100;128;20;10;1000
29;1;+38.011857407243;0.0891808330051298;COMPLETED;2397.899995897436;22.38516968317469;0;0;0;0;22608916.444444444;65554811.25925926;0;0;0;47685404.44444445;128;5;200;1;100;128;20;10;1000
28;1;+27.325409954408;0.104555165028118;COMPLETED;2412.569152820513;27.67151358502239;0;0;0;0;22824365.925925925;70218941.62962963;0;0;0;52841130.666666664;128;1;200;2;100;128;20;10;1000
27;1;+34.1270381093273;0.0947698280382381;COMPLETED;2386.5727897435895;25.343328308805443;0;0;0;0;20319960;66577749.333333336;0;0;0;47333944.88888889;128;5;195;1;100;128;49;10;1000
26;1;+35.4023857126187;0.0929350164617751;COMPLETED;2398.7762562393164;23.9608473456065;0;0;0;0.8453333333333333;21916495.384615384;66163633.23076923;0;0;0;48332686.222222224;128;5;200;1;100;128;20;10;1000
25;1;+39.225515684136404;0.0874347723620806;COMPLETED;2410.8629394871796;22.075337027394482;0;0;0;0.38666666666666666;21019029.037037037;65338633.481481485;0;0;0;46475946.666666664;128;5;200;1;100;128;20;10;1000
24;1;+31.7900731949205;0.0981319626183909;COMPLETED;2407.067081025641;26.55199889721805;0;0;0;0;20869709.62962963;64559786.666666664;0;0;0;48348409.08108108;128;5;200;1;100;128;20;10;1000
23;1;+38.7335805747284;0.0881425074386049;COMPLETED;2400.289562393162;24.479710309743;0;0;0;2.173074786324787;18150608.296296295;66064535.7037037;0;0;0;42072519.11111111;128;6;200;1;100;128;20;10;1000
22;1;+32.8716916004507;0.0965758645266546;COMPLETED;2392.995825641026;35.82118370782601;0;0;0;1.563113846153846;12908988.444444444;47769675.85185185;0;0;0;26772138.666666668;2048;1;50;1;100;128;80;10;1000
21;1;+26.7764572223266;0.105344929971537;COMPLETED;2393.57078974359;34.81613199491043;0;0;0;1.869688376068376;13298954.074074075;49007578.074074075;0;0;0;38346183.11111111;128;1;50;1;100;314;20;10;1000
20;1;+23.416840384373007;0.110178329000044;COMPLETED;2408.62758;27.17034888722906;0;0;0;10.895999999999999;31927659.384615384;85304713.84615384;0;0;0;59955200;128;1;200;1;100;128;20;10;3063
19;1;+33.630394367083305;0.0954843373102948;COMPLETED;2409.894904615385;24.70314557368581;0;0;0;36.744;22690272.888888888;68270459.25925925;0;0;0;49475925.333333336;128;1;200;1;100;128;80;2;1000
18;1;+32.9616298271463;0.0964464725874832;COMPLETED;2414.0352205128206;25.49330965460858;0;0;0;37.09898871794872;23628014.51851852;70278409.48148148;0;0;0;48812145.777777776;128;1;200;1;100;128;20;2;1000
17;1;+34.65088696673651;0.0940161794287055;COMPLETED;2383.478562051282;24.271593318817793;0;0;0;0;16453264.888888888;65490640.59259259;0;0;0;48826254.222222224;128;1;200;1;100;128;20;10;1000
16;1;+37.8565296486593;0.0894042992733533;COMPLETED;2403.5599042735043;25.83884253150629;0;0;0;0;22858171.259259257;64071755.85185185;0;0;0;40508643.55555555;128;1;200;1;100;128;20;10;1000
15;1;+29.5647883672297;0.10133342577419;COMPLETED;2401.143653185133;34.73500063055753;0;0;0;1.9392242735042733;12917743.407407407;49601498.074074075;0;0;0;34213091.55555555;128;10;50;1;100;128;80;10;1000
14;1;+37.751864225523505;0.0895548788718324;COMPLETED;2412.776862051282;26.274303330908616;0;0;0;0.6293333333333333;23421364.615384616;65758601.84615385;0;0;0;39735182.222222224;128;1;200;1;100;128;20;10;1000
13;1;+37.2658442018021;0.0902541040584524;COMPLETED;2384.853398860475;32.85427023330065;0;0;0;0.168;13105500.444444444;46336682.666666664;0;0;0;26355598.222222224;128;1;50;1;100;128;80;10;1000
12;1;+31.854737969953394;0.0980389309793982;COMPLETED;2411.624864957265;34.743331846442786;0;0;0;0;13026149.629629629;47291505.777777776;0;0;0;30657763.555555556;2048;1;50;1;100;128;80;10;1000
11;1;+35.2890149201432;0.0930981202633818;COMPLETED;2388.886505982906;25.22982973414856;0;0;0;30.744;18414044.740740743;63817955.55555555;0;0;0;45782698.666666664;128;3;164;1;100;128;26;10;1000
10;1;-3.579465871734011;0.149017258177162;COMPLETED;2393.4444361795813;48.06022032596728;0;0;0;0;23740488.888888888;154274019.55555555;0;0;0;56797525.333333336;1028;9;130;2;179;339;48;6;2031
9;1;-28.392494576012005;0.184715159044518;COMPLETED;2383.5880027350427;59.91352629621169;0;0;0;405.05833333333334;27441720.888888888;136375864.8888889;0;0;0;69673073.77777778;1688;9;97;2;152;390;23;5;7188
8;1;-9.653312290983006;0.157755553285834;COMPLETED;2402.702150427351;46.86579086410828;0;0;0;213.5608786666667;32086970.074074075;136706578.96296296;0;0;0;68745216;1448;7;153;1;328;350;31;7;5812
7;1;-38.22657152290301;0.198863206352887;COMPLETED;2380.171349059829;69.08245453210192;0;0;0;395.49840461538463;22711190.814814813;76024642.37037037;0;0;0;65174300.44444445;488;2;78;2;187;188;61;2;11313
6;1;-20.937462886610003;0.17398978628237;COMPLETED;2409.9163835897434;47.15329420658753;0;0;0;426.30133333333333;50430093.538461536;119040945.23076923;0;0;0;85559182.22222222;968;5;191;2;117;430;46;9;8563
5;1;-7.019241544607002;0.153965979771757;COMPLETED;2417.227193162393;49.642948619331385;0;0;0;430.42133333333334;23979351.703703705;78774120.2962963;0;0;0;58712291.55555555;1928;10;116;1;258;269;77;4;3062
4;1;+27.410734474507404;0.104432410716407;COMPLETED;2384.115948034188;28.98014256659085;0;0;0;15.44;24340354.074074075;68488912.5925926;0;0;0;49899064.88888889;1328;7;144;1;135;168;42;7;2375
3;1;-28.937377370221995;0.185499068667315;COMPLETED;2405.617998205128;67.6450116285794;0;0;0;433.54238337777775;23546066.153846152;70416541.53846154;0;0;0;53911552;368;2;68;2;275;329;73;3;7875
2;1;-7.451656264964002;0.154588084312274;COMPLETED;2387.1207302564103;50.259335616559106;0;0;0;428;28448937.48148148;75779640.8888889;0;0;0;58056590.222222224;1808;9;106;1;205;410;58;5;5125
1;3;0;0.149695624286117;COMPLETED;2413.356709059829;50.32317640426189;0;0;0;435.12;25239029.925925925;73340852.14814815;0;0;0;52666254.222222224;512;5;100;1;250;300;60;5;5000
1;2;0;0.148817337624876;COMPLETED;2397.339031111111;50.169128712340374;0;0;0;422.6023264957265;24502567.703703705;74974397.62962963;0;0;0;52054016;512;5;100;1;250;300;60;5;5000
1;1;0;0.133089741162498;COMPLETED;1691.917962105263;41.32324461740211;0;0;0;647.5844444444444;20230198.153846152;115575676.71794872;0;0;0;54163029.333333336;512;5;100;1;250;300;60;5;5000